id;name_ru;name_en;regula_code;elpost_code;epgu_code
1;ОВД Г.МЕЛЕУЗА И МЕЛЕУЗОВСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-055;3086;
2;МЕЧЕТЛИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-056;3087;
3;МИШКИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-057;3088;
4;МИЯКИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-058;3089;
5;НУРИМАНОВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-059;3090;
3462;УВД КОМИ-ПЕРМЯЦКОГО АО;nan;811-001;9509;
6;САЛАВАТСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-060;3091;
7;СТЕРЛИБАШЕВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-061;3092;
8;СТЕРЛИТАМАКСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-062;3093;
9;ТАТЫШЛИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-063;3094;
10;УФИМСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-064;3095;
11;КУЮРГАЗИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-065;3096;
12;ФЕДОРОВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-066;3097;
13;ХАЙБУЛЛИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-067;3098;
14;ЧЕКМАГУШЕВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-068;3099;
15;ЧИШМИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-069;3100;
16;ШАРАНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-070;3101;
17;ЯНАУЛЬСКИЙ ГОРОДСКОЕ ОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-071;3102;
18;ОВД Г.МЕЖГОРЬЯ РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-072;3103;
19;АГИДЕЛЬСКИЙ ГОРОДСКОЙ ОВД РЕСПУБЛИКИ БАШКОРТОСТАН;nan;022-073;3104;
20;ОВД ЗАТО г. Межгорье Республики Башкортостан;nan;022-074;3105;
