recordid;departmentname;regioncode;departmentcode;oktmodepartment;end_date;autokey
3150414500868396831;Отделение Министерства внутренних дел по Алькеевскому району;16;;;;MVDR23_DEPARTMENTS_3150414500868396831
3201174173992883212;ДЧ Отдела полиции № 6 (дислокация Ленинский район) Управления МВД России по г. Перми;59;;;;MVDR23_DEPARTMENTS_3201174173992883212
3177083064358540980;ДЧ УМВД России по г. Старому Осколу;31;;;;MVDR23_DEPARTMENTS_3177083064358540980
3136628840227411087;Отдел Министерства внутренних дел по Сабинскому району;16;;;;MVDR23_DEPARTMENTS_3136628840227411087
3083641670965663083;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""ХАРЦЫЗСКИЙ""";93;800-037;21000000000;;MVDR23_DEPARTMENTS_3083641670965663083
3201614803017668140;"ДЧ МО МВД России ""Очерский""";59;;;;MVDR23_DEPARTMENTS_3201614803017668140
3141500468010685773;Отдел Министерства внутренних дел по Алексеевскому району;16;;;;MVDR23_DEPARTMENTS_3141500468010685773
3165467274723202183;"Отдел полиции № 3 ""Центральный"" Управления Министерства внутренних дел по городу Набережные Челны";16;;;;MVDR23_DEPARTMENTS_3165467274723202183
3085026533635527921;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""АЛЧЕВСКИЙ""";94;810-006;43703000;;MVDR23_DEPARTMENTS_3085026533635527921
3082748066722223857;БСТМ УМВД России по Вологодской области;35;;;;MVDR23_DEPARTMENTS_3082748066722223857
3110398268895401360;ООЗП УВМ УМВД РОССИИ ПО ТЮМЕНСКОЙ ОБЛАСТИ;72;720-027;71701000;;MVDR23_DEPARTMENTS_3110398268895401360
3176290623959340408;Отдел Министерства внутренних дел по Мамадышскому району;16;;;;MVDR23_DEPARTMENTS_3176290623959340408
3133593225432929349;Отделение УФМС России по Новосибирской области в Черепановском районе;54;540-041;;;MVDR23_DEPARTMENTS_3133593225432929349
3177085367492810194;ДЧ ОМВД России по Чернянскому р-ну;31;;;;MVDR23_DEPARTMENTS_3177085367492810194
3133547259728238036;Управление МВД России по г. Кемерово;42;;;;MVDR23_DEPARTMENTS_3133547259728238036
3141483276347119008;Отдел Министерства внутренних дел по Пестречинскому району;16;;;;MVDR23_DEPARTMENTS_3141483276347119008
3141478815562208877;Отдел Министерства внутренних дел по Елабужскому району;16;;;;MVDR23_DEPARTMENTS_3141478815562208877
3085032736491050847;"ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""КИРОВСКИЙ""";94;810-009;43710000;;MVDR23_DEPARTMENTS_3085032736491050847
3136609926701389817;Отделение Министерства внутренних дел по Атнинскому району;16;;;;MVDR23_DEPARTMENTS_3136609926701389817
3201166932392809646;ДЧ Отдела полиции № 3 (дислокация Кировский район) Управления МВД России по г. Перми;59;;;;MVDR23_DEPARTMENTS_3201166932392809646
3085067382507443413;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""ЛУТУГИНСКИЙ""";94;810-015;43514000;;MVDR23_DEPARTMENTS_3085067382507443413
3175763846388258639;Отдел Министерства внутренних дел по Спасскому району;16;;;;MVDR23_DEPARTMENTS_3175763846388258639
3136598880104223765;"Межмуниципальный отдел МВД России ""Верхнеуслонский""";16;;;;MVDR23_DEPARTMENTS_3136598880104223765
3179848827263784374;"МО МВД России ""Белозерский""";35;;;;MVDR23_DEPARTMENTS_3179848827263784374
3195846496691950599;Восточно-Сибирское ЛУ МВД России на транспорте;38;;;;MVDR23_DEPARTMENTS_3195846496691950599
