id;name_ru;name_en;regula_code;elpost_code;epgu_code;original_regula_code
1.0;овд г.мелеуза и мелеузовского р-на республики башкортостан;;022-055;3086;2593595267122992208;
2.0;мечетлинский ровд республики башкортостан;;022-056;3087;2593595340548478122;
3.0;мишкинский ровд республики башкортостан;;022-057;3088;2593591771053168165;
4.0;миякинский ровд республики башкортостан;;022-058;3089;2593591763151099417;
5.0;нуримановский ровд республики башкортостан;;022-059;3090;2593590479484360511;
3462.0;увд коми-пермяцкого ао;;811-001;9509;2593595647588308512;
6.0;салаватский ровд республики башкортостан;;022-060;3091;2593595152031291330;
7.0;стерлибашевский ровд республики башкортостан;;022-061;3092;2593581542328505732;
8.0;стерлитамакский ровд республики башкортостан;;022-062;3093;2593595409922266369;
9.0;татышлинский ровд республики башкортостан;;022-063;3094;2593594206777775880;
10.0;уфимский ровд республики башкортостан;;022-064;3095;2593591777009079854;
11.0;куюргазинский ровд республики башкортостан;;022-065;3096;2593595527052400016;
12.0;федоровский ровд республики башкортостан;;022-066;3097;2593591765827065373;
13.0;хайбуллинский ровд республики башкортостан;;022-067;3098;2593589626555864588;
14.0;чекмагушевский ровд республики башкортостан;;022-068;3099;2593595520098243975;
15.0;чишминский ровд республики башкортостан;;022-069;3100;2593595529954858387;
16.0;шаранский ровд республики башкортостан;;022-070;3101;2593590859563799897;
17.0;янаульский городское овд республики башкортостан;;022-071;3102;2593591767731279392;
18.0;овд г.межгорья республики башкортостан;;022-072;3103;2593590466658178861;
19.0;агидельский городской овд республики башкортостан;;022-073;3104;2593591771648759334;
20.0;овд зато г. межгорье республики башкортостан;;022-074;3105;2593595514704369025;
21.0;шаишинское пом калининского рувд республики башкортостан;;023-001;3106;2593595482441782619;
22.0;приютовское пом белебеевского ровд республики башкортостан;;023-002;3107;2593595528939836818;
23.0;резерв республики башкортостан;;023-003;3108;2593591216817837899;
24.0;резерв республики башкортостан;;023-004;3109;2593593638550246410;
25.0;резерв республики башкортостан;;023-005;3110;2593589622999094791;
26.0;резерв республики башкортостан;;023-006;3111;2593590478846826302;
27.0;резерв республики башкортостан;;023-007;3112;2593590192711407031;
28.0;резерв республики башкортостан;;023-008;3113;2593593634708263941;
29.0;резерв республики башкортостан;;023-009;3114;2593591762505176600;
30.0;резерв республики башкортостан;;023-010;3115;2593589622067959302;
31.0;резерв республики башкортостан;;023-011;3116;2593590767993754840;
32.0;резерв республики башкортостан;;023-012;3117;2593593633986843652;
33.0;овд в г. агидель республики башкортостан;;023-013;3118;2593590480818149185;
34.0;мвд республики бурятия;;031-001;3161;2593586913118000317;
35.0;овд советского р-на г. улан-удэ республики бурятия;;032-001;3162;2593595548451739050;
36.0;овд железнодорожного р-на г. улан-удэ республики бурятия;;032-002;3163;2593591734445282806;
37.0;овд октябрьского р-на г. улан-удэ республики бурятия;;032-003;3164;2593589640128632351;
38.0;овд баргузинского р-на республики бурятия;;032-004;3165;2593594095393838712;
39.0;овд баунтовского р-на республики бурятия;;032-005;3166;2593595557175891381;
40.0;овд бичурского р-на республики бурятия;;032-006;3167;2593595554726417842;
7641.0;37 отделение милиции 5 рувд цао г.москвы;;773-037;127542;2593580527139166172;
41.0;овд джидинского р-на республики бурятия;;032-007;3168;2593595500041082223;
42.0;овд еравнинского р-на республики бурятия;;032-008;3169;2593595562007729595;
43.0;овд заиграевского р-на республики бурятия;;032-009;3170;2593595560321619385;
44.0;овд закаменского р-на республики бурятия;;032-010;3171;2593591773007713832;
45.0;овд кабанского р-на республики бурятия;;032-011;3172;2593595561093371322;
46.0;овд кижингинского р-на республики бурятия;;032-012;3173;2593591777663391279;
47.0;овд курумканского р-на республики бурятия;;032-013;3174;2593579957116474554;
48.0;овд кяхтинского р-на республики бурятия;;032-014;3175;2593589635791722009;
49.0;овд муйского р-на республики бурятия;;032-015;3176;2593589628669793807;
4123.0;костинский ом увд г. королёв московской обл.;;503-031;10202;2593589859381679958;
3718.0;отделение уфмс россии по приморскому краю в красноармейском р-не;;250-030;10042;2593584537791370527;
50.0;овд мухоршибирского р-на республики бурятия;;032-016;3177;2593593643457582096;
51.0;овд окинского р-на республики бурятия;;032-017;3178;2593590489970120526;
52.0;овд прибайкальского р-на республики бурятия;;032-018;3179;2593591329334237146;
53.0;овд северобайкальского р-на республики бурятия;;032-019;3180;2593589630674671122;
54.0;овд г. северобайкальска республики бурятия;;032-020;3181;2593595532421109142;
55.0;селенгинский гровд республики бурятия;;032-021;3182;2593591782612670006;
56.0;овд иволгинского р-на республики бурятия;;032-023;3184;2593593641117160461;
57.0;овд тарбагатайского р-на республики бурятия;;032-024;3185;2593589644180330021;
58.0;овд хоринского р-на республики бурятия;;032-025;3186;2593589635087078936;
59.0;загорское ом овд железнодорожного р-на г. улан-удэ республики бурятия;;033-001;3187;2593589630045525521;
60.0;заречное ом овд советского р-на г. улан-удэ республики бурятия;;033-002;3188;2593591772277904935;
61.0;октябрьское ом овд октябрьского р-на г. улан-удэ республики бурятия;;033-003;3189;2593591775683679788;
62.0;усть-баргузинский ом овд баргузинского р-на республики бурятия;;033-005;3190;2593589636555085338;
63.0;джидинское ом овд джидинского р-на республики бурятия;;033-006;3191;2593589632184620564;
64.0;новоильинское ом овд заиграевского р-на республики бурятия;;033-007;3192;2593589637293282843;
65.0;онохойское ом овд заиграевского р-на республики бурятия;;033-008;3193;2593591745702794755;
66.0;бабушкинское ом овд кабанского р-на республики бурятия;;033-009;3194;2593589641437255201;
67.0;байкало-кударинский ом овд кабанского р-на республики бурятия;;033-010;3195;2593589639272994334;
68.0;селенгинский ом овд кабанского р-на республики бурятия;;033-011;3196;2593589637972760092;
69.0;кудара-сомонский ом овд кяхтинского р-на республики бурятия;;033-012;3197;2593589631454811667;
70.0;северо-муйский ом овд муйского р-на республики бурятия;;033-013;3198;2593589632855709205;
71.0;ильинский ом овд прибайкальского р-на республики бурятия;;033-014;3199;2593589640824886816;
72.0;ново-уоянский ом овд северобайкальского р-на республики бурятия;;033-015;3200;2593591774995813931;
74.0;саган-нурское ом овд мухоршибирского р-на республики бурятия;;033-017;3202;2593590496253187927;
3711.0;тп уфмс россии по красноярскому краю в березовском р-не;;240-044;10035;2593593623199094774;
75.0;овд улан-удэ-35 республики бурятия;;033-018;3203;2593591783250204215;
76.0;мвд республики алтай;;041-001;3217;2593590098306012470;
86.0;тп офмс россии по республике алтай в улаганском р-не;;042-010;3227;2593580934833903133;
87.0;кош-агачский ровд республики алтай;;042-011;3228;2593587051412591987;
3716.0;отделение уфмс россии по красноярскому краю в таймырском (долгано-ненецком) муниципальном р-не;;240-071;10040;2593584128704124806;
88.0;акташское ом республики алтай;;043-001;3229;2593587055623673209;
89.0;отдел оформления виз, разрешений, приглашений и регистрации иг уфмс россии по самарской обл.;;000-455;3257;2593587469567924116;
90.0;тп офмс россии по республике адыгея в шовгеновском р-не;;010-009;3265;2593582500819244437;
91.0;мвд республики адыгея;;011-001;3266;2593594972221478633;
92.0;увд г. майкопа республики адыгея;;012-001;3267;2593593963382314437;
93.0;тахтамукайский ровд республики адыгея;;012-003;3269;2593589418744878311;
94.0;красногвардейский ровд республики адыгея;;012-004;3270;2593589335211119729;
95.0;теучежский гровд республики адыгея;;012-005;3271;2593589455403095322;
96.0;кошехабльский ровд республики адыгея;;012-006;3272;2593595641355572762;
3727.0;отделение уфмс россии по приморскому краю в ханкайском р-не;;250-048;10051;2593590448631060250;
97.0;гиагинский ровд республики адыгея;;012-007;3273;2593581439870047477;
98.0;шовгеновский ровд республики адыгея;;012-008;3274;2593589462164313380;
99.0;яблоновское пом тахтамукайского ровд республики адыгея;;013-001;3275;2593589394778625222;
100.0;тп уфмс россии по республике дагестан в п. шамилькала;;050-062;3346;2593580213925320239;
101.0;мвд республики дагестан;;051-001;3347;2593587865283728760;
102.0;овд ленинского р-на г. махачкалы республики дагестан;;052-001;3348;2593594799625868826;
103.0;овд советского р-на г. махачкалы республики дагестан;;052-002;3349;2593580198767105560;
104.0;овд г. буйнакска республики дагестан;;052-003;3350;2593580212616697389;
105.0;овд г. избербаша республики дагестан;;052-005;3352;2593591406769476663;
106.0;овд г. каспийска республики дагестан;;052-006;3353;2593591985717647189;
107.0;карамахинское пом буйнакского р-на республики дагестан;;053-008;3408;2593590099170039095;
108.0;резерв мвд республики дагестан;;053-009;3409;2593591386276107293;
109.0;отдел офмс россии по республике ингушетия в г. назрань и г. магас;;060-002;3411;2593588069806380649;
110.0;отделение офмс россии по республике ингушетия в г. карабулак;;060-003;3412;2593591785741620795;
111.0;отделение офмс россии по республике ингушетия в назрановском р-не;;060-004;3413;2593595570371171782;
112.0;отдел офмс россии по республике ингушетия в сунженском р-не;;060-005;3414;2593595495452513641;
113.0;отдел офмс россии по республике ингушетия в малгобекском р-не;;060-006;3415;2593595572929697225;
114.0;тп офмс россии по республике ингушетия в джейрахском р-не;;060-007;3416;2593595571134535111;
115.0;мвд республики ингушетия;;061-001;3417;2593581754568677024;
116.0;джейрахский районый овд республики ингушетия;;062-001;3418;2593589644960470566;
117.0;назрановский городской овд республики ингушетия;;062-002;3419;2593588066736150118;
118.0;карабулакский городской овд республики ингушетия;;062-003;3420;2593595586225640921;
119.0;назрановским районым овд республики ингушетия;;062-004;3421;2593589511212504430;
120.0;сунженский ровд республики ингушетия;;062-005;3422;2593591789717820993;
121.0;малгобекский районый овд республики ингушетия;;062-006;3423;2593588573022196926;
