id;name_ru;name_en;regula_code;elpost_code;epgu_code
1;ОВД ГМЕЛЕУЗА И МЕЛЕУЗОВСКОГО РНА РЕСПУБЛИКИ БАШКОРТОСТАН;;022-055;3086;2593595267122992208
2;МЕЧЕТЛИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-056;3087;2593595340548478122
3;МИШКИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-057;3088;2593591771053168165
4;МИЯКИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-058;3089;2593591763151099417
5;НУРИМАНОВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-059;3090;2593590479484360511
6;САЛАВАТСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-060;3091;2593595152031291330
7;СТЕРЛИБАШЕВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-061;3092;2593581542328505732
8;СТЕРЛИТАМАКСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-062;3093;2593595409922266369
9;ТАТЫШЛИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-063;3094;2593594206777775880
10;УФИМСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-064;3095;2593591777009079854
11;КУЮРГАЗИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-065;3096;2593595527052400016
12;ФЕДОРОВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-066;3097;2593591765827065373
13;ХАЙБУЛЛИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-067;3098;2593589626555864588
14;ЧЕКМАГУШЕВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-068;3099;2593595520098243975
15;ЧИШМИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-069;3100;2593595529954858387
16;ШАРАНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-070;3101;2593590859563799897
17;ЯНАУЛЬСКИЙ ГОРОДСКОЕ ОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-071;3102;2593591767731279392
18;ОВД ГМЕЖГОРЬЯ РЕСПУБЛИКИ БАШКОРТОСТАН;;022-072;3103;2593590466658178861
19;АГИДЕЛЬСКИЙ ГОРОДСКОЙ ОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;022-073;3104;2593591771648759334
20;ОВД ЗАТО Г МЕЖГОРЬЕ РЕСПУБЛИКИ БАШКОРТОСТАН;;022-074;3105;2593595514704369025
21;ШАИШИНСКОЕ ПОМ КАЛИНИНСКОГО РУВД РЕСПУБЛИКИ БАШКОРТОСТАН;;023-001;3106;2593595482441782619
22;ПРИЮТОВСКОЕ ПОМ БЕЛЕБЕЕВСКОГО РОВД РЕСПУБЛИКИ БАШКОРТОСТАН;;023-002;3107;2593595528939836818
23;РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН;;023-003;3108;2593591216817837899
24;РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН;;023-004;3109;2593593638550246410
25;РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН;;023-005;3110;2593589622999094791
26;РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН;;023-006;3111;2593590478846826302
27;РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН;;023-007;3112;2593590192711407031
28;РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН;;023-008;3113;2593593634708263941
29;РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН;;023-009;3114;2593591762505176600
30;РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН;;023-010;3115;2593589622067959302
31;РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН;;023-011;3116;2593590767993754840
32;РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН;;023-012;3117;2593593633986843652
33;ОВД В Г АГИДЕЛЬ РЕСПУБЛИКИ БАШКОРТОСТАН;;023-013;3118;2593590480818149185
34;МВД РЕСПУБЛИКИ БУРЯТИЯ;;031-001;3161;2593586913118000317
