id;name_ru;name_en;regula_code;elpost_code;epgu_code;original_regula_code
2452;ОУФМС РОССИИ ПО САМАРСКОЙ ОБЛ В ОКТЯБРЬСКОМ РНЕ ГСАМАРА;;632-010;7940;;632-010
2467;ТП УФМС РОССИИ ПО САМАРСКОЙ ОБЛ В БОРСКОМ РНЕ;;632-025;7955;;632-025
2475;ОУФМС РОССИИ ПО САМАРСКОЙ ОБЛ В АВТОЗАВОДСКОМ РНЕ ГТОЛЬЯТТИ;;632-033;7963;;632-033
2668;ОМ УВД ЛЕНИНСКОГО РНА Г ЕКАТЕРИНБУРГА;;663-001;8276;;663-001
3006;ВЕРШИНОДАРАСУНСКОЕ ОМ ТУНГОКОЧЕНСКОГО РНА ЧИТИНСКОЙ ОБЛ;;753-009;8988;;753-009
3309;ОВД КУМТОРКАЛИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-049;9963;;052-049
3310;ОВД ДЕРБЕНТСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-050;9964;;052-050
3312;ОВД Г ДАГЕСТАНСКИЕ ОГНИ РЕСПУБЛИКИ ДАГЕСТАН;;052-052;9966;;052-052
3313;ОВД ДОКУЗПАРИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-053;9967;;052-053
3314;БЕЖТИНСКИЙ ПОМ ЦУНТИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;053-001;9968;;053-001
3315;БЕЛИДЖИНСКИЙ ПОМ ДЕРБЕНТСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;053-002;9969;;053-002
3316;ДУБКИНСКОЕ ПОМ Г КИЗИЛЮРТА РЕСПУБЛИКИ ДАГЕСТАН;;053-003;9970;;053-003
3317;КОЧУБЕЙСКОЕ ПОМ ТАРУМОВСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;053-004;9971;;053-004
3318;МАМЕДКАЛИНСКОЕ ПОМ ДЕРБЕНТСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;053-005;9972;;053-005
3321;КАРАМАХИНСКОЕ ПОМ БУЙНАКСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;053-008;9975;;053-008
3342;ОФМС РОССИИ ПО РЕСПУБЛИКЕ ТЫВА;;170-000;9998;;170-000
